237514573,20151023,6
232470885,20151023,138
222334396,20151023,4
56910153,20151023,110
248194926,20151023,135
216096849,20151023,29
213759654,20151024,28
222334396,20151024,4
248194926,20151024,135
222334396,20151024,4
56910153,20151024,110
222334396,20151024,4
156016008,20151024,212
156016008,20151024,212
222334396,20151024,4
237514573,20151025,6
213759654,20151025,28
216096849,20151025,29
213759654,20151026,27
156016008,20151026,212
237514573,20151027,6
156016008,20151027,212
237514573,20151027,6
43278406,20151027,140
43278406,20151027,140
216096849,20151027,29
237514573,20151027,6
56910153,20151027,110
56910153,20151027,110
232470885,20151027,143
222334396,20151027,4
232470885,20151027,145
222334396,20151027,4
56910153,20151027,109
216096849,20151027,29
156016008,20151027,212
248194926,20151027,141
222334396,20151027,4
216096849,20151027,29
237514573,20151028,6
232470885,20151028,145
56910153,20151028,109
248194926,20151028,141
237514573,20151028,6
213759654,20151028,27
216096849,20151028,29
216096849,20151028,29
237514573,20151028,6
248194926,20151028,143
156016008,20151028,212
186345708,20151028,81
11702623,20151028,32
56910153,20151028,108
248194926,20151028,143
45942062,20151028,37
190059717,20151028,33
210563686,20151028,88
94444234,20151029,22
240324457,20151029,52
237290882,20151029,170
245575279,20151029,42
251787897,20151029,34
222334396,20151029,4
262661278,20151029,2
1366364,20151029,206
271033594,20151029,11
43278406,20151029,140
248194926,20151029,143
207853704,20151029,32
216096849,20151029,29
199432827,20151029,58
181477851,20151029,80
23581275,20151029,27
31805948,20151029,238
266128749,20151029,30
175033522,20151029,13
200924950,20151029,240
262661278,20151029,2
28496041,20151029,54
265815677,20151029,59
202844262,20151029,42
156016008,20151029,212
232470885,20151029,146
271055116,20151029,40
261013969,20151029,25
222334396,20151029,4
200924950,20151029,240
196683010,20151029,25
56910153,20151029,108
100712298,20151029,19
239140355,20151029,63
248194926,20151029,143
264605728,20151029,69
157772821,20151029,3
246591982,20151029,134
212060792,20151029,119
30818020,20151029,108
259668367,20151029,20
190059717,20151029,35
122069329,20151029,260
9718122,20151029,122
232470885,20151029,146
177649148,20151029,93
175033522,20151029,13
28766616,20151029,456
2090161,20151029,205
263476601,20151029,33
234694796,20151029,86
281110287,20151029,55
146543306,20151029,157
271055116,20151029,40
222334396,20151029,4
116214833,20151029,117
242335986,20151029,1
28496041,20151029,54
264478291,20151029,62
51598081,20151029,34
248194926,20151029,143
207853704,20151029,32
156146576,20151029,26
184344170,20151029,38
273848651,20151029,15
285176353,20151029,33
181477851,20151029,80
265815677,20151029,59
52355424,20151029,227
271808583,20151029,20
285604804,20151029,218
259668367,20151029,20
190059717,20151029,35
213759654,20151029,27
20770170,20151029,10
202844262,20151029,42
246685982,20151029,42
236037337,20151029,23
156016008,20151029,212
122069329,20151029,260
237514573,20151029,6
94444234,20151029,22
177649148,20151029,93
240324457,20151029,52
2090161,20151029,205
86321298,20151029,184
263476601,20151029,33
174885546,20151029,37
234694796,20151029,86
281110287,20151029,55
107943031,20151029,72
173790224,20151029,95
146543306,20151029,157
271055116,20151029,40
222334396,20151029,4
262661278,20151029,2
117731424,20151029,3
196683010,20151029,25
116214833,20151029,117
56910153,20151029,109
67164811,20151029,10
208128788,20151029,9
51598081,20151029,34
238599144,20151029,67
100712298,20151029,19
43278406,20151029,140
248194926,20151029,144
207853704,20151029,32
156146576,20151029,26
229528597,20151029,153
246591982,20151029,134
55955548,20151029,31
184344170,20151029,38
199432827,20151029,59
39947708,20151029,30
59386621,20151029,44
181477851,20151029,80
274769551,20151029,63
249959619,20151029,294
52355424,20151029,227
271808583,20151029,20
285604804,20151029,217
30818020,20151029,108
259668367,20151029,20
213759654,20151029,27
84017062,20151029,62
237514573,20151029,6
56910153,20151029,109
273848651,20151029,15
274769551,20151029,63
262200774,20151029,26
122069329,20151029,260
237514573,20151029,6
86321298,20151029,184
263476601,20151029,33
82319692,20151029,34
11702623,20151029,32
